,Account Length,Area Code,Churn?,CustServ Calls,Day Calls,Day Charge,Day Mins,Eve Calls,Eve Charge,Eve Mins,Int'l Plan,Intl Calls,Intl Charge,Intl Mins,Night Calls,Night Charge,Night Mins,Phone,State,VMail Message,VMail Plan
0,107,415,False.,1,123,27.470000,161.600000,103,16.620000,195.500000,no,3,3.700000,13.700000,103,11.450000,254.400000,371-7191,OH,26,yes
1,137,415,False.,0,114,41.380000,243.400000,110,10.300000,121.200000,no,5,3.290000,12.200000,104,7.320000,162.600000,358-1921,NJ,0,no
2,84,408,False.,2,71,50.900000,299.400000,88,5.260000,61.900000,yes,7,1.780000,6.600000,89,8.860000,196.900000,375-9999,OH,0,no
3,75,415,False.,3,113,28.340000,166.700000,122,12.610000,148.300000,yes,3,2.730000,10.100000,121,8.410000,186.900000,330-6626,OK,0,no
4,118,510,False.,0,98,37.980000,223.400000,101,18.750000,220.600000,yes,6,1.700000,6.300000,118,9.180000,203.900000,391-8027,AL,0,no
5,121,510,False.,3,88,37.090000,218.200000,108,29.620000,348.500000,no,7,2.030000,7.500000,118,9.570000,212.600000,355-9993,MA,24,yes
6,147,415,False.,0,79,26.690000,157.000000,94,8.760000,103.100000,yes,6,1.920000,7.100000,96,9.530000,211.800000,329-9001,MO,0,no
7,117,408,False.,1,97,31.370000,184.500000,80,29.890000,351.600000,no,4,2.350000,8.700000,90,9.710000,215.800000,335-4719,LA,0,no
8,141,415,False.,0,84,43.960000,258.600000,111,18.870000,222.000000,yes,5,3.020000,11.200000,97,14.690000,326.400000,330-8173,WV,37,yes
9,65,415,True.,4,137,21.950000,129.100000,83,19.420000,228.500000,no,6,3.430000,12.700000,111,9.400000,208.800000,329-6603,IN,0,no
10,74,415,False.,0,127,31.910000,187.700000,148,13.890000,163.400000,no,5,2.460000,9.100000,94,8.820000,196.000000,344-9403,RI,0,no
11,168,408,False.,1,96,21.900000,128.800000,71,8.920000,104.900000,no,2,3.020000,11.200000,128,6.350000,141.100000,363-1107,IA,0,no
12,95,510,False.,3,88,26.620000,156.600000,75,21.050000,247.600000,no,5,3.320000,12.300000,115,8.650000,192.300000,394-8006,MT,0,no
13,62,415,False.,4,70,20.520000,120.700000,76,26.110000,307.200000,no,6,3.540000,13.100000,99,9.140000,203.000000,366-9238,IA,0,no
14,161,415,True.,4,67,56.590000,332.900000,97,27.010000,317.800000,no,9,1.460000,5.400000,128,7.230000,160.600000,351-7269,NY,0,no
15,85,408,False.,1,139,33.390000,196.400000,90,23.880000,280.900000,no,4,3.730000,13.800000,75,4.020000,89.300000,350-8884,ID,27,yes
16,93,510,False.,3,114,32.420000,190.700000,111,18.550000,218.200000,no,3,2.190000,8.100000,121,5.830000,129.600000,386-2923,VT,0,no
17,76,510,False.,1,66,32.250000,189.700000,65,18.090000,212.800000,no,5,2.700000,10.000000,108,7.460000,165.700000,356-2992,VA,33,yes
18,73,415,False.,1,90,38.150000,224.400000,88,13.560000,159.500000,no,2,3.510000,13.000000,74,8.680000,192.800000,373-2782,TX,0,no
19,147,415,False.,0,117,26.370000,155.100000,93,20.370000,239.700000,no,4,2.860000,10.600000,133,9.400000,208.800000,396-5800,FL,0,no
20,77,408,True.,5,89,10.610000,62.400000,121,14.440000,169.900000,no,6,1.540000,5.700000,64,9.430000,209.600000,393-7984,CO,0,no
21,130,415,False.,0,112,31.110000,183.000000,99,6.200000,72.900000,no,19,2.570000,9.500000,78,8.180000,181.800000,358-1958,AZ,0,no
22,111,415,False.,2,103,18.770000,110.400000,102,11.670000,137.300000,no,6,2.080000,7.700000,105,8.530000,189.600000,350-2565,SC,0,no
23,132,510,False.,0,86,13.790000,81.100000,72,20.840000,245.200000,no,2,2.780000,10.300000,115,10.670000,237.000000,343-4696,VA,0,no
24,174,415,False.,3,76,21.130000,124.300000,112,23.550000,277.100000,no,5,4.190000,15.500000,115,11.280000,250.700000,331-3698,NE,0,no
25,57,408,False.,0,115,36.210000,213.000000,112,16.240000,191.100000,no,3,2.570000,9.500000,115,8.220000,182.700000,357-3817,WY,39,yes
26,54,408,False.,3,73,22.830000,134.300000,100,13.220000,155.500000,no,4,3.970000,14.700000,68,4.590000,102.100000,418-6412,MT,0,no
27,20,415,False.,0,109,32.300000,190.000000,84,21.950000,258.200000,no,6,1.700000,6.300000,102,8.170000,181.500000,353-2630,MO,0,no
28,49,510,False.,1,117,20.280000,119.300000,109,18.280000,215.100000,no,1,3.000000,11.100000,90,8.040000,178.700000,410-7789,HI,0,no
29,142,415,False.,2,95,14.420000,84.800000,63,11.620000,136.700000,no,6,3.830000,14.200000,148,11.270000,250.500000,416-8428,IL,0,no
30,75,510,False.,1,105,38.440000,226.100000,107,17.130000,201.500000,no,5,2.780000,10.300000,98,11.080000,246.200000,370-3359,NH,0,no
31,172,408,False.,3,121,36.040000,212.000000,115,2.650000,31.200000,no,10,3.400000,12.600000,78,13.200000,293.300000,383-1121,LA,0,no
32,12,408,True.,1,118,42.430000,249.600000,119,21.450000,252.400000,no,3,3.190000,11.800000,90,12.610000,280.200000,360-1596,AZ,0,no
33,57,408,False.,0,94,30.060000,176.800000,75,16.580000,195.000000,no,4,2.240000,8.300000,116,9.610000,213.500000,395-2854,OK,25,yes
34,72,415,False.,3,80,37.400000,220.000000,102,18.470000,217.300000,no,6,3.970000,14.700000,71,6.880000,152.800000,362-1407,GA,37,yes
35,36,408,False.,0,128,24.870000,146.300000,80,13.810000,162.500000,no,6,3.920000,14.500000,109,5.820000,129.300000,341-9764,AK,30,yes
36,78,415,False.,1,64,22.240000,130.800000,116,19.010000,223.700000,no,5,2.700000,10.000000,108,10.250000,227.800000,353-3305,MA,0,no
37,136,415,False.,3,106,34.660000,203.900000,99,15.950000,187.600000,yes,6,2.840000,10.500000,107,4.580000,101.700000,402-1381,AK,33,yes
38,149,408,False.,1,94,23.870000,140.400000,92,23.100000,271.800000,no,9,3.000000,11.100000,108,8.470000,188.300000,332-9891,NJ,0,no
39,98,408,False.,3,102,21.470000,126.300000,85,14.180000,166.800000,no,2,2.540000,9.400000,135,8.450000,187.800000,372-9976,GA,0,no
40,135,408,True.,0,85,29.430000,173.100000,107,17.330000,203.900000,yes,15,3.940000,14.600000,78,5.500000,122.200000,383-6029,MD,41,yes
41,34,510,False.,2,82,21.220000,124.800000,98,23.990000,282.200000,no,4,2.700000,10.000000,78,14.020000,311.500000,353-7289,AR,0,no
42,160,415,False.,3,77,14.590000,85.800000,110,14.050000,165.300000,no,4,2.480000,9.200000,92,8.030000,178.500000,390-7274,ID,0,no
43,64,510,False.,1,67,26.180000,154.000000,118,19.190000,225.800000,no,3,0.950000,3.500000,86,11.940000,265.300000,352-1237,WI,0,no
44,59,408,False.,2,97,20.550000,120.900000,92,18.110000,213.000000,no,5,2.300000,8.500000,116,7.340000,163.100000,353-3061,OR,28,yes
45,65,415,False.,3,120,35.920000,211.300000,122,13.820000,162.600000,no,5,3.560000,13.200000,118,6.060000,134.700000,363-5450,MI,0,no
46,142,408,False.,2,133,31.790000,187.000000,74,11.440000,134.600000,no,5,2.000000,7.400000,127,10.900000,242.200000,364-1995,DE,0,no
47,119,415,True.,5,114,27.050000,159.100000,117,19.660000,231.300000,no,3,2.380000,8.800000,91,6.440000,143.200000,398-1294,ID,0,no
48,97,415,False.,1,135,22.640000,133.200000,58,18.460000,217.200000,no,3,2.970000,11.000000,79,3.180000,70.600000,405-7146,WY,24,yes
49,52,408,False.,3,108,32.620000,191.900000,96,22.930000,269.800000,no,5,2.110000,7.800000,87,10.660000,236.800000,413-4957,IA,0,no
50,60,408,False.,1,57,37.500000,220.600000,115,17.940000,211.100000,no,3,1.840000,6.800000,129,11.210000,249.000000,420-5645,IN,0,no
51,10,408,False.,2,112,31.640000,186.100000,66,16.170000,190.200000,no,6,3.080000,11.400000,57,12.730000,282.800000,349-4396,VA,0,no
52,96,415,False.,2,117,27.230000,160.200000,67,22.740000,267.500000,no,5,2.510000,9.300000,68,10.280000,228.500000,404-3211,UT,0,no
53,87,415,True.,5,83,25.670000,151.000000,116,18.670000,219.700000,no,3,2.620000,9.700000,127,9.180000,203.900000,353-3759,WY,0,no
54,81,408,False.,1,67,29.840000,175.500000,85,21.190000,249.300000,no,3,2.750000,10.200000,98,12.160000,270.200000,363-5947,IN,0,no
55,141,415,False.,1,98,21.570000,126.900000,62,15.300000,180.000000,no,2,2.160000,8.000000,128,6.340000,140.800000,340-5121,CO,0,no
56,121,408,True.,3,129,33.730000,198.400000,77,6.400000,75.300000,no,3,1.570000,5.800000,77,8.150000,181.200000,370-7574,CO,30,yes
57,68,415,False.,3,70,25.300000,148.800000,164,20.950000,246.500000,no,3,3.270000,12.100000,103,5.840000,129.800000,403-9733,WI,0,no
58,125,408,False.,1,103,38.980000,229.300000,126,15.080000,177.400000,no,8,3.240000,12.000000,95,8.520000,189.300000,355-7251,OK,0,no
59,174,408,False.,1,97,32.660000,192.100000,94,14.440000,169.900000,no,4,3.080000,11.400000,54,7.500000,166.600000,359-5893,ID,0,no
60,116,415,False.,2,83,45.660000,268.600000,142,15.150000,178.200000,no,3,3.130000,11.600000,106,7.480000,166.300000,405-3371,CA,34,yes
61,74,510,False.,2,91,32.930000,193.700000,96,20.920000,246.100000,no,3,3.940000,14.600000,92,6.210000,138.000000,344-5117,MN,33,yes
62,149,408,False.,3,92,30.720000,180.700000,64,15.960000,187.800000,no,3,3.400000,12.600000,53,11.950000,265.500000,332-8160,SD,28,yes
63,38,408,False.,2,98,22.300000,131.200000,97,13.850000,162.900000,no,6,2.210000,8.200000,106,7.150000,159.000000,359-4081,NC,0,no
64,40,415,False.,2,74,25.180000,148.100000,88,14.410000,169.500000,no,5,1.670000,6.200000,102,9.630000,214.100000,352-8305,WA,41,yes
65,43,415,False.,0,105,42.760000,251.500000,104,18.090000,212.800000,yes,4,2.510000,9.300000,67,7.100000,157.800000,329-9847,WY,0,no
66,113,408,False.,0,93,21.280000,125.200000,119,17.540000,206.400000,yes,8,2.240000,8.300000,139,5.820000,129.300000,365-9011,MN,0,no
67,126,408,False.,1,70,35.970000,211.600000,80,18.440000,216.900000,no,1,2.110000,7.800000,60,6.910000,153.500000,338-9472,UT,0,no
68,150,510,True.,4,101,30.410000,178.900000,110,14.370000,169.100000,no,3,3.730000,13.800000,100,6.690000,148.600000,374-8042,TX,0,no
69,138,408,False.,3,93,41.110000,241.800000,83,14.490000,170.500000,no,7,3.190000,11.800000,104,13.290000,295.300000,359-1231,NJ,0,no
70,162,510,False.,0,97,38.230000,224.900000,84,16.000000,188.200000,no,2,3.270000,12.100000,61,11.460000,254.600000,413-7170,MN,46,yes
71,147,510,False.,3,83,42.260000,248.600000,85,12.660000,148.900000,no,4,2.160000,8.000000,109,7.760000,172.500000,415-2935,NM,0,no
